2022-01-17 22:53:20,516 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-01-17 22:53:21,266 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-01-17 22:53:22,438 [main] INFO  org.jboss.weld.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
2022-01-17 22:53:22,454 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.1 (Final)
2022-01-17 22:53:22,610 [main] INFO  org.jboss.weld.Bootstrap - WELD-ENV-000020: Using jandex for bean discovery
2022-01-17 22:53:22,813 [main] INFO  org.jboss.weld.Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-01-17 22:53:22,923 [main] INFO  org.jboss.weld.Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-01-17 22:53:22,938 [main] INFO  io.smallrye.faulttolerance.FaultToleranceExtension - MicroProfile: Fault Tolerance activated (SmallRye Fault Tolerance version: 4.3.1)
2022-01-17 22:53:23,001 [weld-worker-1] INFO  org.jboss.weld.Bootstrap - WELD-000119: Not generating any bean definitions from com.kumuluz.ee.health.checks.MongoHealthCheck because of underlying class loading error: Type Failure to load: com.mongodb.MongoClient not found.  If this is unexpected, enable DEBUG logging to see the full error.
2022-01-17 22:53:23,047 [main] INFO  org.jboss.weld.environment.servletJetty - WELD-ENV-001200: Jetty 7.2+ detected, CDI injection will be available in Servlets and Filters. Injection into Listeners should work on Jetty 9.1.1 and newer.
2022-01-17 23:54:19,463 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-01-17 23:54:20,511 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-01-17 23:54:21,541 [main] INFO  org.jboss.weld.environment.servletWeldServlet - WELD-ENV-001008: Initialize Weld using ServletContainerInitializer
2022-01-17 23:54:21,562 [main] INFO  org.jboss.weld.Version - WELD-000900: 3.1.1 (Final)
2022-01-17 23:54:21,763 [main] INFO  org.jboss.weld.Bootstrap - WELD-ENV-000020: Using jandex for bean discovery
2022-01-17 23:54:22,022 [main] INFO  org.jboss.weld.Bootstrap - WELD-000101: Transactional services not available. Injection of @Inject UserTransaction not available. Transactional observers will be invoked synchronously.
2022-01-17 23:54:22,150 [main] INFO  org.jboss.weld.Event - WELD-000411: Observer method [BackedAnnotatedMethod] public org.glassfish.jersey.ext.cdi1x.internal.ProcessAllAnnotatedTypes.processAnnotatedType(@Observes ProcessAnnotatedType<?>, BeanManager) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
2022-01-17 23:54:22,200 [main] INFO  io.smallrye.faulttolerance.FaultToleranceExtension - MicroProfile: Fault Tolerance activated (SmallRye Fault Tolerance version: 4.3.1)
